image,phrase1,phrase2,original_phrase1,original_phrase2,ytrue,roi1,roi2,preprocessed_phrase1,preprocessed_phrase2,original_label,type_label
3359636318,group+people,people,A group of people,People,True,45,45,group people,people,Entailment1,1
6959556104,man,runner,A man,Runner,True,17,17,man,runner,Independence,4
2326294409,several+people,pedestrians,Several people,Pedestrians,True,135,135,several people,pedestrians,Entailment1,1
2326294409,people,commuters,People,Commuters,True,135,135,people,commuters,Entailment1,1
2494088238,little+boy,boy,a little boy,a boy,True,-1,198,little boy,boy,Entailment1,1
2494088238,little+boy,boy,a little boy,boy,True,-1,198,little boy,boy,Entailment1,1
4886839805,two+athletic-looking+young+men,two+boys,Two athletic-looking young men,Two boys,True,0,0,two athletic-looking young men,two boys,Alternation,0
4886839805,two+athletic-looking+young+men,2+wet+boys,Two athletic-looking young men,2 wet boys,True,0,0,two athletic-looking young men,2 wet boys,Alternation,0
4886839805,two+athletic-looking+young+men,two+young+men,Two athletic-looking young men,Two young men,True,0,0,two athletic-looking young men,two young men,Entailment1,1
4886839805,two+boys,two+young+men,Two boys,Two young men,True,0,0,two boys,two young men,Alternation,0
4886839805,2+wet+boys,two+young+men,2 wet boys,Two young men,True,0,0,2 wet boys,two young men,Alternation,0
4527739022,asian+man,man,An Asian man,Man,True,162,162,asian man,man,Entailment1,1
4527739022,asian+man,man,An Asian man,The man,True,162,162,asian man,man,Entailment1,1
4527739022,man,asian+man,Man,Asian man,True,162,162,man,asian man,Entailment1,1
4527739022,asian+man,man,Asian man,The man,True,162,162,asian man,man,Entailment1,1
2309649133,laptop+monitors,laptops,laptop monitors,laptops,True,164,164,laptop monitors,laptops,Entailment1,1
7004977742,runner,group+people,the runner,A group of people,True,115,115,runner,group people,Alternation,0
3012334157,clown,street+performer,the clown,A street performer,True,19,19,clown,street performer,Independence,4
3012334157,street+performer,clown,A street performer,A clown,True,19,19,street performer,clown,Independence,4
2876676952,peaceful+older+lady,older+women,Peaceful older lady,An older women,True,22,22,peaceful older lady,older women,Entailment1,1
2876676952,peaceful+older+lady,older+woman,Peaceful older lady,An older woman,True,22,22,peaceful older lady,older woman,Entailment1,1
4872638109,another+persons+forearm,someones+arm,another persons forearm,someones arm,True,194,194,another persons forearm,someones arm,Entailment1,1
5572347874,man,person,A man,A person,True,127,127,man,person,Entailment1,1
5572347874,man,person,A man,Person,True,127,127,man,person,Entailment1,1
5572347874,person,man,A person,A man,True,127,127,person,man,Entailment1,1
5572347874,person,man,Person,A man,True,127,127,person,man,Entailment1,1
2274602044,man,old+man,Man,Old man,True,194,194,man,old man,Entailment1,1
2274602044,black+dog,dog,a black dog,a dog,True,-1,-1,black dog,dog,Entailment1,1
2274602044,man,old+man,A man,Old man,True,194,194,man,old man,Entailment1,1
2274602044,old+man,man,Old man,a man,True,194,194,old man,man,Entailment1,1
2274602044,old+man,man,Old man,A man,True,194,194,old man,man,Entailment1,1
4770979319,woman,ethnic+woman,A woman,Ethnic woman,True,18,18,woman,ethnic woman,Entailment1,1
4770979319,red+ribbon,red+fabric,red ribbon,red fabric,True,21,21,red ribbon,red fabric,Entailment1,1
4770979319,ethnic+woman,woman,Ethnic woman,A woman,True,18,18,ethnic woman,woman,Entailment1,1
4732510897,brown+slacks,gray+pants,brown slacks,gray pants,True,193,193,brown slacks,gray pants,Alternation,0
4732510897,asian+man,man,Asian man,A man,True,62,62,asian man,man,Entailment1,1
4732510897,man,asian+man,A man,An asian man,True,62,62,man,asian man,Entailment1,1
4732510897,asian+man,man,An asian man,A man,True,62,62,asian man,man,Entailment1,1
3223709894,grassy+yard,grassy+area,a grassy yard,a grassy area,True,1,1,grassy yard,grassy area,Equivalence,3
3223709894,brown+dog,shaggy+dog,A brown dog,A shaggy dog,True,139,139,brown dog,shaggy dog,Independence,4
7725133284,four+women,girls,Four women,The girls,True,76,76,four women,girls,Alternation,0
7725133284,four+women+'s+volleyball+players,girls,Four women 's volleyball players,The girls,True,76,76,four women 's volleyball players,girls,Alternation,0
111497985,woman,young+man,A woman,A young man,True,192,192,woman,young man,Alternation,0
100207720,white+powder,powdered+sugar,white powder,powdered sugar,True,-1,-1,white powder,powdered sugar,Entailment1,1
100207720,young+woman,girl,A young woman,Girl,True,23,23,young woman,girl,Alternation,0
100207720,woman,girl,A woman,Girl,True,23,23,woman,girl,Alternation,0
100207720,girl,standing+woman,Girl,A standing woman,True,23,23,girl,standing woman,Alternation,0
615927423,dark-skinned+boy,boy,A dark-skinned boy,A boy,True,138,138,dark-skinned boy,boy,Entailment1,1
615927423,street+sign,traffic+signal+pole,street sign,the traffic signal pole,True,100,100,street sign,traffic signal pole,Alternation,0
615927423,dark-skinned+boy,black+boy,A dark-skinned boy,A black boy,True,138,138,dark-skinned boy,black boy,Equivalence,3
3822469102,man,shirtless+guy,A man,A shirtless guy,True,197,197,man,shirtless guy,Entailment1,1
4824416683,man,person,A man,A person,True,187,187,man,person,Entailment1,1
4824416683,person,man,A person,Man,True,187,187,person,man,Entailment1,1
4824416683,man,person,Man,A person,True,187,187,man,person,Entailment1,1
4918785879,asian+man,man,An Asian man,A man,True,108,108,asian man,man,Entailment1,1
4918785879,man,asian+man,A man,An asian man,True,108,108,man,asian man,Entailment1,1
3209523192,black+shirt,black+white+shirt,black shirt,a black and white shirt,True,188,188,black shirt,black white shirt,Entailment1,1
3209523192,person,skier,Person,A skier,True,92,92,person,skier,Entailment1,1
2830561291,juice,juice+box,juice,a juice box,True,163,163,juice,juice box,Alternation,0
2830561291,juice,juice+box,a juice,a juice box,True,163,163,juice,juice box,Alternation,0
4199589368,young+girl,girl,the other a young girl,A girl,True,128,128,other young girl,girl,Entailment1,1
4199589368,type+apparatus,ventilator,some type of apparatus,a ventilator,True,-1,-1,some type apparatus,ventilator,Entailment1,1
4199589368,young+girl,girl,the other a young girl,Girl,True,128,128,other young girl,girl,Entailment1,1
4199589368,girl,child,A girl,A child,True,128,128,girl,child,Entailment1,1
4199589368,child,girl,A child,Girl,True,128,128,child,girl,Entailment1,1
1855352188,"long+,+leaf-strewn+path",leaf-lined+sidewalk,"a long , leaf-strewn path",a leaf-lined sidewalk,True,7,7,"long , leaf-strewn path",leaf-lined sidewalk,Entailment1,1
1855352188,leaf-lined+sidewalk,scenic+path,a leaf-lined sidewalk,a scenic path,True,7,7,leaf-lined sidewalk,scenic path,Independence,4
1855352188,scenic+path,trail,a scenic path,a trail,True,7,7,scenic path,trail,Entailment1,1
2739332078,girl,blond+woman,A girl,Blond woman,True,66,66,girl,blond woman,Alternation,0
2739332078,girl,young+blond+woman,A girl,A young blond woman,True,66,66,girl,young blond woman,Alternation,0
2739332078,girl,blond-haired+woman,A girl,The blond-haired woman,True,66,66,girl,blond-haired woman,Alternation,0
2739332078,blond+woman,young+blond+woman,Blond woman,A young blond woman,True,66,66,blond woman,young blond woman,Entailment1,1
5547783051,red+zipped+jacket,red+jacket,a red zipped jacket,a red jacket,True,47,47,red zipped jacket,red jacket,Entailment1,1
5547783051,another+man,man,another man,A man,True,17,17,another man,man,Equivalence,3
4562771403,woman,pedestrian,A Woman,A pedestrian,True,129,129,woman,pedestrian,Independence,4
4562771403,woman,pedestrian,A woman,A pedestrian,True,129,129,woman,pedestrian,Independence,4
94989565,red+car,car,a red car,a car,True,195,195,red car,car,Entailment1,1
1999444757,woman,girl,A woman,A girl,True,128,128,woman,girl,Alternation,0
4479282254,little+child,little+baby,A little child,a little baby,True,110,110,little child,little baby,Alternation,0
4479282254,little+baby,young+child,a little baby,A young child,True,110,110,little baby,young child,Alternation,0
