image_id, phrase1, phrase2, entity_id
3359636318, A group of people, People, EN#112625
6959556104, A man, Runner, EN#262503
2326294409, Several people, Pedestrians, EN#41841
2326294409, People, Commuters, EN#41841
2494088238, a little boy, a boy, EN#53220
2494088238, a little boy, boy, EN#53220
4886839805, Two athletic-looking young men, Two boys, EN#214793
4886839805, Two athletic-looking young men, 2 wet boys, EN#214793
4886839805, Two athletic-looking young men, Two young men, EN#214793
4886839805, Two boys, Two young men, EN#214793
4886839805, 2 wet boys, Two young men, EN#214793
4527739022, An Asian man, Man, EN#175689
4527739022, An Asian man, The man, EN#175689
4527739022, Man, Asian man, EN#175689
4527739022, Asian man, The man, EN#175689
2309649133, laptop monitors, laptops, EN#40675
7004977742, the runner, A group of people, EN#263777
3012334157, the clown, A street performer, EN#87247
3012334157, A street performer, A clown, EN#87247
2876676952, Peaceful older lady, An older women, EN#78323
2876676952, Peaceful older lady, An older woman, EN#78323
4872638109, another persons forearm, someones arm, EN#213672
5572347874, A man, A person, EN#238933
5572347874, A man, Person, EN#238933
5572347874, A person, A man, EN#238933
5572347874, Person, A man, EN#238933
2274602044, Man, Old man, EN#38352
2274602044, a black dog, a dog, EN#38354
2274602044, A man, Old man, EN#38352
2274602044, Old man, a man, EN#38352
2274602044, Old man, A man, EN#38352
4770979319, A woman, Ethnic woman, EN#201116
4770979319, red ribbon, red fabric, EN#201121
4770979319, Ethnic woman, A woman, EN#201116
4732510897, brown slacks, gray pants, EN#196641
4732510897, Asian man, A man, EN#196638
4732510897, A man, An asian man, EN#196638
4732510897, An asian man, A man, EN#196638
3223709894, a grassy yard, a grassy area, EN#102402
3223709894, A brown dog, A shaggy dog, EN#102401
7725133284, Four women, The girls, EN#274214
7725133284, Four women 's volleyball players, The girls, EN#274214
111497985, A woman, A young man, EN#2957
100207720, white powder, powdered sugar, EN#124
100207720, A young woman, Girl, EN#119
100207720, A woman, Girl, EN#119
100207720, Girl, A standing woman, EN#119
615927423, A dark-skinned boy, A boy, EN#248941
615927423, street sign, the traffic signal pole, EN#248942
615927423, A dark-skinned boy, A black boy, EN#248941
3822469102, A man, A shirtless guy, EN#144133
4824416683, A man, A person, EN#207500
4824416683, A person, Man, EN#207500
4824416683, Man, A person, EN#207500
4918785879, An Asian man, A man, EN#218297
4918785879, A man, An asian man, EN#218297
3209523192, black shirt, a black and white shirt, EN#101307
3209523192, Person, A skier, EN#101306
2830561291, juice, a juice box, EN#75297
2830561291, a juice, a juice box, EN#75297
4199589368, the other a young girl, A girl, EN#158874
4199589368, some type of apparatus, a ventilator, EN#158877
4199589368, the other a young girl, Girl, EN#158874
4199589368, A girl, A child, EN#158874
4199589368, A child, Girl, EN#158874
1855352188, "a long , leaf-strewn path", a leaf-lined sidewalk, EN#22025
1855352188, a leaf-lined sidewalk, a scenic path, EN#22025
1855352188, a scenic path, a trail, EN#22025
2739332078, A girl, Blond woman, EN#69661
2739332078, A girl, A young blond woman, EN#69661
2739332078, A girl, The blond-haired woman, EN#69661
2739332078, Blond woman, A young blond woman, EN#69661
5547783051, a red zipped jacket, a red jacket, EN#238638
5547783051, another man, A man, EN#238630
4562771403, A Woman, A pedestrian, EN#178730
4562771403, A woman, A pedestrian, EN#178730
94989565, a red car, a car, EN#283969
1999444757, A woman, A girl, EN#24767
4479282254, A little child, a little baby, EN#171802
4479282254, a little baby, A young child, EN#171802
4479282254, a little baby, A child, EN#171802
4479282254, a little baby, A small child, EN#171802
3252457866, the grass, grass track, EN#104557
299309703, her newborn baby, A child, EN#86086
299309703, a baby, a infant, EN#86086
299309703, a baby, A child, EN#86086
299309703, a infant, a baby, EN#86086
459804826, A little boy, Little blond-hair boy, EN#181495
4458486019, A yellow ' NYC Taxi, a taxi, EN#170201
3056595980, Three adults, Three women, EN#90672
4421766226, an indoor fenced dirt, an arena, EN#167146
4421766226, A woman, Women, EN#167142
4421766226, Woman, Women, EN#167142
3041779850, Three boys, Small boys, EN#89508
3041779850, Three boys, Young boys, EN#89508
3041779850, Small boys, little school boys, EN#89508
2601612082, raft, an inflatable raft, EN#60789
2601612082, a raft, an inflatable raft, EN#60789
3381038951, A woman, The girl, EN#114374
3381038951, A woman, Women, EN#114374
3381038951, The girl, A woman, EN#114374
3381038951, The girl, Women, EN#114374
3439064881, A group of people, People, EN#118326
4189561305, soldiers, police, EN#158537
3284899112, A man, Eldery couple, EN#106879
3284899112, A man, Old man, EN#106879
3284899112, Eldery couple, A man, EN#106879
2980958891, Two teenage boys, Two young men, EN#85334
2980958891, Two friends, Two teens, EN#85334
1273001772, A group of children, Children, EN#6862
3662061499, creek, the middle of a river, EN#134956
3662061499, hiking canes, two hiking poles, EN#134959
3662061499, hiking canes, stilts, EN#134959
3662061499, the middle of a river, a creek, EN#134956
3662061499, two poles, two hiking poles, EN#134959
3626689571, The man, Tall man, EN#132464
3626689571, A man, Tall man, EN#132464
3626325621, blue, a flannel shirt, EN#132437
3626325621, "part of a large , hollow , tree trunk", a hollow tree, EN#132438
3626325621, "part of a large , hollow , tree trunk", a tree, EN#132438
4672474238, Several people, A crowd of people, EN#189124
3214910526, A man, A garbage man, EN#101707
3214910526, A garbage man, A man, EN#101707
122189647, Several man, city workers, EN#5504
5822092748, the color blue, a house blue, EN#243457
3332642370, a colorful mural, a bright colorful mural, EN#110163
6060344876, A man, A person, EN#247257
6060344876, A person, A man, EN#247257
2707873672, Two redheaded boys, Two boys, EN#67655
4464425799, a bike, a strange wheeled cart, EN#170664
3565917449, Asian man, A man, EN#128218
3565917449, A man, An asian man, EN#128218
3565917449, A man, Asian man, EN#128218
3565917449, An asian man, A man, EN#128218
5690859699, a moving walkway, a motorized floor, EN#241089
5690859699, a stacked row of grocery shopping carts, some carts, EN#241088
1718184338, the body of water, the water, EN#19356
5534793306, A man, A person, EN#238401
3665987581, a small tan dog, A dog, EN#135282
387466573, A man, A bicyclist, EN#146574
868984478, an outdoor swing, a rustic looking swing, EN#282511
868984478, an outdoor swing, a rope, EN#282511
868984478, an outdoor swing, plank swing, EN#282511
868984478, A young woman, A happy girl, EN#282510
868984478, a young woman, A happy girl, EN#282510
868984478, A young smiling woman, A happy girl, EN#282510
7249185350, black suits, black wetsuits, EN#267537
7249185350, a red and white tape, a start line, EN#267536
7249185350, yellow swim caps, yellow caps, EN#267539
7249185350, black suits, wetsuits, EN#267537
7249185350, black wetsuits, black bodysuits, EN#267537
7249185350, a start line, a ribbon, EN#267536
461784003, a pile of rocks, a pile of large rocks, EN#183245
2354834216, A man, a band, EN#43749
2354834216, a band, A man, EN#43749
4593649681, A group of seven women, A group of bridesmaids, EN#181274
2884301336, a blue baby pool, a small pool, EN#78918
7136105537, media, microphones, EN#265869
7136105537, microphones, the media, EN#265869
7186836768, soccer, ball, EN#266795
7186836768, Young men, Two boys, EN#266793
7186836768, soccer, a game, EN#266795
2423042595, people, a group of people, EN#48298
2423042595, their guitars, acoustic guitar, EN#48301
2423042595, a group of people, People, EN#48298
2423042595, guitars, acoustic guitar, EN#48301
52989402, A group of people, People, EN#233157
1798215547, A little boy, A boy, EN#20734
3705470430, A girl, woman, EN#138180
3705470430, A girl, the woman, EN#138180
3705470430, A girl, A woman, EN#138180
3878630626, a lady, someone, EN#146723
2326666568, Seven people, A family, EN#41870
4898264862, three little boys, three young boys, EN#216329
7714755346, A man, A teen, EN#273909
3126752627, Two basketball players, Two men, EN#95327
202436011, Six children, People, EN#25169
202436011, park, a grassy area, EN#25170
8141029294, A woman, A girl, EN#279491
8141029294, A girl, A woman, EN#279491
40267450, the street, a city street, EN#152406
4330138788, orange and black, black and orange, EN#163583
4330138788, Group of people, A group, EN#163580
4330138788, their band, A group, EN#163580
4925906360, Four young children, Four boys, EN#218963
2561481438, A dark dog, A black dog, EN#58176
2561481438, A black dog, A dog, EN#58176
2446783262, A girl, a barefoot woman, EN#50215
2446783262, A girl, A woman, EN#50215
4962648530, A dark-haired girl, "A young , pregnant woman", EN#223641
4962648530, A dark-haired girl, Woman waitress, EN#223641
4962648530, A female, "A young , pregnant woman", EN#223641
4962648530, "A young , pregnant woman", A nice looking lady, EN#223641
5392145976, A woman rollerblader, A young female, EN#235290
5392145976, A female roller derby participant, A young female, EN#235290
1245022983, A child, The girl, EN#6167
7057696291, An adult, A person, EN#264708
4915394257, Two women, These girls, EN#218019
4915394257, Two women, Two girls, EN#218019
4915394257, Two young women, These girls, EN#218019
4915394257, Two young women, Two girls, EN#218019
2992999413, Amish looking people, A group of Amish people, EN#86069
2936707421, A young boy, The little kid, EN#82546
2936707421, a blue soccer ball, a ball, EN#82547
2936707421, The little kid, A child soccer player, EN#82546
3021028400, an instrument, the violin, EN#88030
3021028400, Man, A boy, EN#88028
3021028400, the cello, the violin, EN#88030
3021028400, Young man, A boy, EN#88028
3021028400, A young man, A boy, EN#88028
3021028400, the violin, a cello, EN#88030
2381583688, a wildly decorated knit cap, a warm hat, EN#45328
3367200598, a ball, a baseball, EN#113357
3367200598, a baseball, the ball, EN#113357
2831394884, A father, A dad, EN#75396
2561310673, A group of men, Five men, EN#58147
3547600292, A black and yellow bird, A black bird, EN#126575
3547600292, green grass, a grassy field, EN#126577
3547600292, A brown bird, A black and orange bird, EN#126575
3547600292, A brown bird, A bird, EN#126575
4604145026, A white woman, A girl, EN#181888
4604145026, the street, a sidewalk, EN#181890
4604145026, A woman, A girl, EN#181888
4604145026, A girl, A woman, EN#181888
4604145026, a sidewalk, the street, EN#181890
4604145026, A girl, A young woman, EN#181888
2778832101, A man, A person, EN#72506
2778832101, A person, A man, EN#72506
2566149779, A woman, Women, EN#58511
2566149779, Women, A woman, EN#58511
3282832381, A small child, A toddler, EN#106738
3282832381, A young child, A toddler, EN#106738
3282832381, a Texas A & M jersey, Texas t-shirt, EN#106739
5821129557, orange and yellow stars, yellow stars, EN#243407
5821129557, a boy, A little boy, EN#243402
5615711650, Two girls, Two traveling women, EN#239854
5615711650, Two girls, Two women, EN#239854
5866079837, a cup, fruit cups, EN#244228
6602912215, A crowd of people, A crowd, EN#256081
6602912215, A crowd of people, a crowd, EN#256081
4447268988, cement steps, the steps, EN#169174
7924790118, Athletes, Several men, EN#276689
6618942119, a fowl, a raw chicken, EN#256216
4794459769, bright clothing, traditional Mexican clothing, EN#203341
7062856245, Two white male hipsters, Two boys, EN#264860
7062856245, Two young men, Two boys, EN#264860
7062856245, The men, Two boys, EN#264860
50162920, different colored balloon, colored lanterns, EN#227011
2899550625, lawn chairs, deck chairs, EN#80124
2899550625, lawn chairs, folding chairs, EN#80124
2899550625, all, Construction workers, EN#80120
4434577985, one man, An old man, EN#167709
4434577985, a photo, a picture, EN#167712
4434577985, one man, Old man, EN#167709
4434577985, one man, old man, EN#167709
4434577985, a picture, a photo, EN#167712
3715669736, a red shirt, red, EN#139026
3715669736, Two girls, Two woman, EN#139024
3715669736, Two girls, Two women, EN#139024
3715669736, Two woman, Two women, EN#139024
4838853770, a utility knife, a knife, EN#209436
